company,title,url,exp,typ,loc,job_name
㈜기어세컨드,데이터 분석가 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45909022?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=1,경력무관,정규직,서울,데이터 분석가
㈜넥슨,[인텔리전스랩스] 데이터 분석가 (서비스 데이터 큐레이션) (계약직),https://www.jobkorea.co.kr/Recruit/GI_Read/45980830?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=2,신입,계약직,경기,데이터 분석가
㈜넥슨,[글로벌보안본부] 데이터 분석가 (게임 이상탐지),https://www.jobkorea.co.kr/Recruit/GI_Read/46072467?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=3,경력무관,정규직,경기,데이터 분석가
㈜넥슨,[인텔리전스랩스] 데이터 분석가 (소셜메이킹),https://www.jobkorea.co.kr/Recruit/GI_Read/45976519?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=4,경력무관,정규직,경기,데이터 분석가
㈜피엠그로우,[피엠그로우] 데이터 분석가 채용 (전기차 배터리),https://www.jobkorea.co.kr/Recruit/GI_Read/46057584?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=5,경력2년↑,정규직,서울,데이터 분석가
㈜퍼플아카데미,데이터 분석가 (신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/46019453?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=6,경력1년↑,정규직 외,서울,데이터 분석가
㈜넥슨,[인텔리전스랩스] 데이터 분석가 (ai 챗봇 품질 강화) (계약직),https://www.jobkorea.co.kr/Recruit/GI_Read/45811445?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=7,경력무관,계약직,경기,데이터 분석가
㈜에임드,[ua팀] 모바일게임 데이터 분석가 (주니어),https://www.jobkorea.co.kr/Recruit/GI_Read/45996178?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=8,경력1년↑,정규직,서울,데이터 분석가
㈜브릭,데이터 분석가(경력 5년 이상) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45887574?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=9,경력5년↑,정규직,경기,데이터 분석가
㈜한국정보통계,[통계팀] 데이터 분석가 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45900927?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=10,경력무관,정규직,전북,데이터 분석가
주식회사 더 스윙,데이터 분석가(data analyst),https://www.jobkorea.co.kr/Recruit/GI_Read/45953817?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=11,경력3년↑,정규직,서울,데이터 분석가
콜로세움코퍼레이션,[engineering] 데이터 분석가,https://www.jobkorea.co.kr/Recruit/GI_Read/46019534?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=12,경력3년↑,정규직,서울,데이터 분석가
㈜디베이스앤,[cj그룹] 데이터 분석가/사이언티스트 경력직,https://www.jobkorea.co.kr/Recruit/GI_Read/46046900?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=13,경력3년↑,정규직,서울,데이터 분석가
㈜스카이오토넷,(주)스카이오토넷 - 데이터 분석가 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46084949?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=14,신입·경력1년↑,정규직,서울,데이터 분석가
한패스㈜,[한패스(주)/데이터분석팀] 데이터분석가(data analyst) 담당자,https://www.jobkorea.co.kr/Recruit/GI_Read/46043237?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=15,경력3년↑,정규직,서울,데이터 분석가
㈜에이치투비즈,(주)에이치투비즈 데이터분석가(사업팀) 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46049258?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=16,경력3년↑,정규직,서울,데이터 분석가
에쓰오씨소프트㈜,"데이터분석가, 인공지능 개발자 채용 공고",https://www.jobkorea.co.kr/Recruit/GI_Read/45957799?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=17,경력2년↑,정규직,서울,데이터 분석가
㈜부동산플래닛,[데이터분석가] data analyst 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45833843?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=18,신입·경력,정규직,서울,데이터 분석가
넛지헬스케어㈜,[캐시워크] 데이터분석가 - 석사/박사,https://www.jobkorea.co.kr/Recruit/GI_Read/45902361?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=19,경력무관,정규직,서울,데이터 분석가
번개장터,[번개장터] data analyst,https://www.jobkorea.co.kr/Recruit/GI_Read/45777902?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=20,경력3년↑,정규직,서울,데이터 분석가
더치트주식회사,데이터 애널리스트 / 데이터분석 전문가 / 통계 전문가 / data analyst (통,https://www.jobkorea.co.kr/Recruit/GI_Read/46042063?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=21,경력무관,정규직 외,서울,데이터 분석가
